1,466,2017-01-07 18:24:07,Unnamed: 3
2,466,2017-01-07 18:24:55,
3,458,2017-01-07 18:25:18,
4,458,2017-01-07 18:26:21,
5,592,2017-01-07 19:09:59,
6,393,2017-01-08 00:41:19,
7,592,2017-01-08 09:14:27,
8,592,2017-01-08 11:18:08,
9,636,2017-01-08 11:27:24,
10,458,2017-01-09 11:13:12,
11,458,2017-01-09 11:34:02,
12,413,2017-01-09 12:29:25,
13,413,2017-01-09 12:40:39,
14,592,2017-01-09 12:47:22,
15,413,2017-01-09 14:08:04,
16,500,2017-01-09 14:33:42,
17,585,2017-01-09 15:35:26,
18,492,2017-01-09 15:47:49,
19,470,2017-01-09 16:11:26,
20,393,2017-01-09 16:22:48,
21,592,2017-01-09 16:31:07,
22,592,2017-01-09 17:03:37,
23,592,2017-01-09 20:06:54,
24,639,2017-01-09 20:16:20,
25,592,2017-01-10 10:55:06,
26,458,2017-01-10 12:14:11,
27,458,2017-01-10 12:33:53,
28,462,2017-01-10 12:34:59,
29,462,2017-01-10 12:38:11,
30,462,2017-01-10 12:38:47,
31,462,2017-01-10 12:49:20,
32,458,2017-01-10 12:50:25,
33,592,2017-01-10 13:03:28,
34,413,2017-01-10 14:36:23,
35,640,2017-01-10 15:14:35,
36,413,2017-01-10 15:22:45,
37,458,2017-01-10 15:33:51,
38,492,2017-01-10 16:07:34,
39,592,2017-01-10 17:27:58,
40,470,2017-01-10 17:29:43,
41,554,2017-01-10 17:37:47,
42,470,2017-01-10 17:41:07,
43,466,2017-01-10 19:12:47,
44,592,2017-01-11 11:33:57,
45,458,2017-01-11 11:43:44,
46,478,2017-01-11 11:44:13,
47,478,2017-01-11 11:51:12,
48,500,2017-01-11 12:03:28,
49,458,2017-01-11 12:03:35,
50,500,2017-01-11 12:11:34,
51,458,2017-01-11 12:15:33,
52,500,2017-01-11 12:18:55,
53,458,2017-01-11 12:28:29,
54,528,2017-01-11 13:46:09,
55,470,2017-01-11 14:48:52,
56,500,2017-01-11 15:00:40,
57,500,2017-01-11 15:05:27,
58,470,2017-01-11 15:14:38,
59,458,2017-01-11 15:15:52,
60,500,2017-01-11 15:33:35,
61,413,2017-01-11 15:40:45,
62,500,2017-01-11 15:43:44,
63,458,2017-01-11 15:56:44,
64,450,2017-01-11 16:22:00,
65,470,2017-01-11 17:12:28,
66,500,2017-01-11 17:20:47,
67,470,2017-01-12 07:20:13,
68,450,2017-01-12 10:21:34,
69,500,2017-01-12 10:41:22,
70,640,2017-01-12 11:49:54,
71,592,2017-01-12 12:34:17,
72,478,2017-01-12 14:30:56,
73,458,2017-01-12 15:00:02,
74,592,2017-01-12 15:08:26,
75,470,2017-01-12 15:22:59,
76,536,2017-01-12 15:57:01,
77,511,2017-01-12 18:48:42,
78,393,2017-01-12 18:52:14,
79,592,2017-01-13 11:01:21,
80,450,2017-01-13 11:16:38,
81,450,2017-01-13 11:59:42,
82,458,2017-01-13 12:03:58,
83,450,2017-01-13 12:04:25,
84,500,2017-01-13 12:17:52,
85,458,2017-01-13 12:49:54,
86,635,2017-01-13 13:06:43,
87,492,2017-01-13 13:38:47,
88,500,2017-01-13 13:55:59,
89,635,2017-01-13 13:57:08,
90,470,2017-01-13 14:02:52,
91,450,2017-01-13 15:04:56,
92,635,2017-01-13 17:39:20,
93,485,2017-01-13 17:41:59,
94,458,2017-01-14 10:40:12,
95,413,2017-01-14 11:57:18,
96,450,2017-01-14 14:05:01,
97,393,2017-01-14 17:22:19,
98,470,2017-01-15 07:05:16,
99,470,2017-01-15 07:35:57,
100,450,2017-01-15 11:59:37,
101,592,2017-01-15 21:11:43,
102,393,2017-01-15 23:47:12,
103,541,2017-01-16 10:24:46,
104,450,2017-01-16 11:08:25,
105,458,2017-01-16 11:21:17,
106,413,2017-01-16 11:57:55,
107,492,2017-01-16 12:06:31,
108,474,2017-01-16 12:55:51,
109,592,2017-01-16 13:11:32,
110,500,2017-01-16 13:14:01,
111,500,2017-01-16 14:24:55,
112,466,2017-01-16 15:21:20,
113,458,2017-01-16 16:32:19,
114,635,2017-01-16 17:51:14,
115,393,2017-01-16 18:30:13,
116,458,2017-01-17 11:17:36,
117,643,2017-01-17 11:18:42,
118,458,2017-01-17 11:23:49,
119,470,2017-01-17 13:58:26,
120,592,2017-01-17 14:05:24,
121,466,2017-01-17 14:06:57,
